query,prod_nm,prod_mid,profit,ctr,profit_rank
富國島,桃園直飛富國島｜自選五星沙灘渡假飯店機加酒自由行 5 日．加贈接送機＋包車一日遊＋太陽世界纜車來回票｜太陽富國航空．1人成行,182190,397,12.91,1
富國島,【越南】富國島珍珠遊樂園門票｜可加選珍珠野生動物園門票 & 泰迪熊博物館門票,100869,378,20.57,2
富國島,【越南】富國島太陽世界門票,100556,348,14.8,3
富國島,越南｜富國島之 Kiss of The Sea 表演門票,137219,303,11.82,4
富國島,桃園直飛富國島｜自選航班．越南富國島 4 ～ 6 天計畫機票｜1人成行．含行李,137240,234,19.51,5
富國島,一日遊|富國島三島帆船遊：跳島共享遊、浮潛體驗、船上海鮮午餐 |越南,183008,52,13.94,6
富國島,富國島 Soc Nau 泥浴、水療與按摩體驗 |越南,262933,45,9.65,7
富國島,【越南】富國島｜富國大世界GRAND WORLD門票,119144,43,10.67,8
富國島,海洋交響曲|富國島,262170,40,6.77,9
富國島,富國島凡爾賽泥水療與按摩體驗：門票|越南,158515,31,6.32,10
富士山,【東京富士山一日遊】河口湖・富岳風穴・鳴沢冰穴・忍野八海（保證有位）,12319,2667,33.01,1
富士山,【1人成團｜贈送纜車體驗】富士山打卡一日遊｜河口湖天上山公園纜車＋忍野八海＋羅森便利店＋淺間公園 (東京出發),150665,1425,27.02,2
富士山,富士山六景熱門打卡拍照一日遊｜淺間公園&日川時計店&忍野八海&河口湖大石公園&羅森便利商店&山中湖餵天鵝（中英韓文服務）,266389,1118,17.44,3
富士山,日本富士山一日遊｜河口湖・忍野八海・御殿場Outlet・可選溫泉體驗（東京銀座出發）,10999,623,17.02,4
富士山,【贈送纜車票】富士山&箱根一日遊｜蘆之湖水上鳥居&箱根神社&箱根海賊船（可選乘坐）&大涌谷&山中湖&忍野八海,150923,435,12.18,5
富士山,【專屬包車】日本東京市區、市區周邊、富士山、箱根、鎌倉、熱海、伊豆、輕井澤、長野、日光包車一日遊,161744,405,8.71,6
富士山,富士山熱門打卡景點一日遊｜新倉山淺間公園・忍野八海・河口湖大石公園（東京／新宿出發）,270771,331,13.14,7
富士山,富士山登山之旅：吉田路線【從新宿出發】,271691,299,5.95,8
富士山,日本東京富士山網紅打卡一日遊｜新倉山淺間公園・忍野八海・河口湖四季花海或富士山芝櫻祭｜東京出發（贈送草餅，可選含午餐方案）,184519,269,11.51,9
富士山,日本富士山完美打卡一日遊｜新倉山淺間公園或天梯小鎮・忍野八海・河口湖大石公園（東京出發）,573307,263,10.76,10
小三通,金廈小三通｜台灣機票＆機場碼頭接駁＆小三通船票｜台北/台中/高雄出發,143059,2702,54.76,1
小三通,金門金廈小三通船票套票・自由行套裝行程,150769,309,37.63,2
小三通,金廈小三通｜機場碼頭接駁＆小三通船票,144962,110,21.75,3
小琉球,屏東東港- 小琉球來回船票｜泰富航運,100243,1036,20.98,1
小琉球,屏東小琉球租機車 ｜尚美行租車｜小琉球套票組合,104397,587,17.3,2
小琉球,小琉球接駁｜高雄-東港接駁｜小琉球船票接駁套餐＆船票機車套餐,123288,332,14.32,3
小琉球,小琉球三天兩夜住宿｜船票＆機車＆住宿＆浮潛＆保險｜雙人、四人房套裝行程,150624,241,14.77,4
小琉球,小琉球租機車｜擎翔租賃｜小琉球船票＆電動車套票,119055,171,13.58,5
小琉球,藍白航線｜小琉球船票｜屏東東港漁港 - 小琉球來回船票,123925,151,15.52,6
小琉球,小琉球探索拉美｜玻璃船半潛｜立即確認,22421,140,10.76,7
小琉球,小琉球海盜 SUP・水上自行車 ・獨木舟｜星空導覽・SUP＋浮潛二合一｜贈空拍服務,122688,129,13.74,8
小琉球,小琉球｜熊潛水水肺潛水體驗｜一對一教學免潛水證照,23476,122,5.91,9
小琉球,小琉球熊潛水浮潛體驗｜花瓶岩＆龍蝦洞＆美人洞（三擇一）海龜共游｜加贈活動拍攝照片,23499,82,13.25,10
新加坡,新加坡濱海灣花園門票,3158,762,17.6,1
新加坡,新加坡夜間野生動物園門票｜萬態野生動物世界,100158,453,15.22,2
新加坡,新加坡 | 正宗 Ducktours 水陸兩棲DUCKtour鴨子船旅票,102371,304,8.85,3
新加坡,新加坡環球影城門票,2312,255,16.71,4
新加坡,迪士尼遊輪: 迪士尼探險號 Disney Adventure | 從新加坡啟航4晚遊輪假期,528869,226,1.42,5
新加坡,酷航・桃園出發｜新加坡 4～6 天計劃機票＋自選超值方案｜1 人成行・含行李,158429,187,10.49,6
新加坡,2026新加坡航空F1新加坡大獎賽@濱海灣街賽道 | 新加坡一級方程式賽車,129639,171,6.62,7
新加坡,新加坡聖淘沙 Skyline luge 斜坡滑車＆空中吊椅體驗,17924,142,14.49,8
新加坡,Go City: 新加坡探索者通行證（包括濱海灣花園和新加坡動物園入場）,38200,120,5.81,9
新加坡,【登陸聖淘沙島】新加坡花柏山珠寶盒纜車電子門票 Singapore Cable Car,17933,109,11.15,10
新加坡F1,新加坡F1門票住宿四天三夜,168524,4044,30.0,1
新加坡F1,2026新加坡航空F1新加坡大獎賽@濱海灣街賽道 | 新加坡一級方程式賽車,129639,1061,69.23,2
新加坡F1,2026新加坡F1大獎賽：豪華VIP款待套餐 | 濱海灣街道賽道，新加坡一級方程式賽車,185901,0,13.46,3
新加坡F1,酷航・桃園出發｜新加坡 4～6 天計劃機票＋自選超值方案｜1 人成行・含行李,158429,0,5.26,4
新加坡F1,桃園出發｜新加坡機加酒自由行4日．自選飯店｜兩人成行｜贈無限流量SIＭ卡,268813,0,0.0,5
